road_id,unique_key,bridge_highway_name,bridge_highway_direction,bridge_highway_segment,road_ramp
66901688_road,66901688,F,Unspecified,Entrance,Ave M & McDonald Av
66894405_road,66894405,Cross Island Pkwy,South/Long Island Bound,14 Ave/Francis Lewis Blvd (Exit 35),Ramp
66894440_road,66894440,F,Unspecified,Mezzanine,
66886259_road,66886259,A,Unspecified,Mezzanine,
66893126_road,66893126,F,Unspecified,Mezzanine,
66888961_road,66888961,D,B D E Uptown & The Bronx - Queens upper level,Platform,
66887638_road,66887638,D,Unspecified,Other,
66888962_road,66888962,C,B C Downtown & Brooklyn,Platform,
66886274_road,66886274,4,Unspecified,Mezzanine,
66886273_road,66886273,1,Unspecified,Platform,
66886275_road,66886275,F,Unspecified,Passageway,
66891735_road,66891735,B,B D Uptown & The Bronx,Platform,
66888960_road,66888960,4,Unspecified,Other,
66886688_road,66886688,Bronx River Pkwy,Southbound,East 233 St (Exit 10) - Gun Hill Road (Exit 9),Roadway
66891736_road,66891736,D,Unspecified,Mezzanine,
66887649_road,66887649,A,Unspecified,Other,
66884933_road,66884933,1,1 Uptown & The Bronx,Platform,
66886269_road,66886269,1,1 Uptown & The Bronx,Platform,
66893147_road,66893147,D,Unspecified,Entrance,DeKalb Av & Flatbush Av Ext.
66886270_road,66886270,N,Unspecified,Mezzanine,
66893148_road,66893148,D,Unspecified,Entrance,DeKalb Av & Flatbush Av Ext.
66894450_road,66894450,3,1 2 3 Uptown & The Bronx,Platform,
66888976_road,66888976,A,Unspecified,Stairway,
66894621_road,66894621,Van Wyck Expwy,South/JFK Airport Bound,Linden Blvd (Exit 3) - Rockaway Blvd (Exit 2),Roadway
66890354_road,66890354,C,Unspecified,Platform,
66888978_road,66888978,1,Unspecified,Stairway,
66894523_road,66894523,Long Island Expwy,East/Long Island Bound,Little Neck Pkwy (Exit 32),Ramp
66890504_road,66890504,West Shore Expwy,Northbound,Victory Blvd (Exit 7),Ramp
66890369_road,66890369,R,Unspecified,Stairway,
66891737_road,66891737,G,Unspecified,Passageway,
66886276_road,66886276,R,Unspecified,Other,
66884934_road,66884934,6,Unspecified,Passageway,
66883844_road,66883844,BQE/Gowanus Expwy,East/Queens Bound,7th Ave 65th St (Exit 20) - 3 Ave (Exit 21),Roadway
66893142_road,66893142,G,Unspecified,Mezzanine,
66889049_road,66889049,Nassau Expwy,Westbound,BEGIN Nassau Expwy- No Hangar Rd/No Boundary Rd (Exit 3),Roadway
66888979_road,66888979,B,B D F M Uptown & The Bronx - Queens,Platform,
66893143_road,66893143,2,2 3 Uptown & The Bronx,Platform,
66891731_road,66891731,G,Unspecified,Entrance,India St & Manhattan Av to Queens
66886268_road,66886268,1,Unspecified,Platform,
66890364_road,66890364,F,Unspecified,Entrance,
66890363_road,66890363,G,Unspecified,Entrance,India St & Manhattan Av to Queens
66890365_road,66890365,Q,Unspecified,Platform,
66894439_road,66894439,F,F to Jamaica,Platform,
66887648_road,66887648,6,Unspecified,Platform,
66893146_road,66893146,N,Unspecified,Other,
66893136_road,66893136,BQE/Gowanus Expwy,East/Queens Bound,38 St (Exit 23) - Prospect Expwy (NY 27) (Exit 24),Roadway
66890339_road,66890339,Grand Central Pkwy,East/Long Island Bound,Long Island Expwy Manhattan Eastern Long Is (I-495) (Exit 10 W-E) - 69 Rd Jewel Ave (Exit 11 W-E),Roadway
66888975_road,66888975,N,Unspecified,Other,
66891729_road,66891729,1,1 Downtown,Platform,
66886266_road,66886266,1,1 Downtown,Platform,
66891734_road,66891734,F,Unspecified,Entrance,
