taxi_id,unique_key,taxi_company_borough,taxi_pick_up_location
66724188_taxi,66724188,Unspecified,"AMSTERDAM AVENUE AND WEST   88 STREET, MANHATTAN, NY, 10024"
66724104_taxi,66724104,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66719030_taxi,66719030,Unspecified,"440 EAST   20 STREET, MANHATTAN (NEW YORK), NY, 10009"
66722914_taxi,66722914,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66719119_taxi,66719119,Unspecified,"CENTRAL PARK, MANHATTAN (NEW YORK) ,NY, 10000"
66727982_taxi,66727982,Unspecified,"909 CASTLE HILL AVENUE, BRONX, NY, 10473"
66726717_taxi,66726717,Unspecified,"191 HOWARD AVENUE, BROOKLYN, NY, 11233"
66707314_taxi,66707314,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66714693_taxi,66714693,Unspecified,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369"
66711850_taxi,66711850,Unspecified,"701 7 AVENUE, MANHATTAN (NEW YORK), NY, 10036"
66708825_taxi,66708825,Unspecified,"5564 BROADWAY, BRONX, NY, 10463"
66708940_taxi,66708940,Unspecified,"50 WEST   50 STREET, MANHATTAN (NEW YORK), NY, 10112"
66710233_taxi,66710233,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66713268_taxi,66713268,Unspecified,"2 AVENUE AND EAST   95 STREET, MANHATTAN, NY, 10128"
66708826_taxi,66708826,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66708941_taxi,66708941,Unspecified,"4 CLINTON STREET, BROOKLYN, NY, 11201"
66710400_taxi,66710400,Unspecified,"4 CLINTON STREET, BROOKLYN, NY, 11201"
66713210_taxi,66713210,Unspecified,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369"
66716287_taxi,66716287,Unspecified,"401 WEST   42 STREET, MANHATTAN (NEW YORK), NY, 10036"
66713251_taxi,66713251,Unspecified,"36 CENTRAL PARK SOUTH, MANHATTAN (NEW YORK), NY, 10019"
66707286_taxi,66707286,Unspecified,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430"
66711757_taxi,66711757,BRONX,"800 CONCOURSE VILLAGE WEST, BRONX, NY, 10451"
66713383_taxi,66713383,MANHATTAN,"240 EAST   47 STREET, MANHATTAN (NEW YORK), NY, 10017"
66718063_taxi,66718063,Unspecified,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369"
66711719_taxi,66711719,Unspecified,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369"
66714727_taxi,66714727,Unspecified,"2424 CROPSEY AVENUE, BROOKLYN, NY, 11214"
66714678_taxi,66714678,Unspecified,"116 BOWERY, MANHATTAN (NEW YORK), NY, 10013"
66717817_taxi,66717817,Unspecified,"461 DEAN STREET, BROOKLYN, NY, 11217"
66717818_taxi,66717818,Unspecified,"235 BOND STREET, BROOKLYN, NY, 11217"
66716331_taxi,66716331,Unspecified,"360 ADAMS STREET, BROOKLYN, NY, 11201"
66707337_taxi,66707337,Unspecified,"21-52 44 DRIVE, QUEENS (LONG ISLAND CITY), NY, 11101"
66710272_taxi,66710272,Unspecified,"201 WEST  141 STREET, MANHATTAN (NEW YORK), NY, 10030"
66714863_taxi,66714863,Unspecified,"125 EAST   72 STREET, MANHATTAN (NEW YORK), NY, 10021"
66716332_taxi,66716332,Unspecified,"387 5 AVENUE, BROOKLYN, NY, 11215"
66716229_taxi,66716229,Unspecified,"3 AVENUE AND EAST   23 STREET, MANHATTAN, NY, 10010"
66707409_taxi,66707409,Unspecified,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369"
66716198_taxi,66716198,STATEN ISLAND,Unknown
66711713_taxi,66711713,Unspecified,"LA GUARDIA AIRPORT, QUEENS (EAST ELMHURST) ,NY, 11369"
